service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20130519,20130616
1-19-29,0,0,0,0,1,1,1,20130517,20130616
10-14-32-6,1,1,0,1,1,0,0,20130513,20130614
11-15-19-29-3-7,1,1,1,1,1,1,0,20130513,20130615
11-15-29-3-7,1,1,1,1,1,0,0,20130513,20130614
12-16-4-8,1,1,1,1,0,0,0,20130513,20130613
12-30-4-8,1,1,0,1,1,0,0,20130513,20130614
12-4-8,1,1,0,1,0,0,0,20130513,20130613
13-17-2-20-31-5-9,1,1,1,1,1,1,1,20130513,20130616
13-17-2-31-5-9,1,1,1,1,1,0,1,20130513,20130616
13-17-20-31-5-9,1,1,1,1,1,1,0,20130513,20130615
13-17-31-5-9,1,1,1,1,1,0,0,20130513,20130614
15,0,0,1,0,0,0,0,20130515,20130612
16,0,0,1,0,0,0,0,20130515,20130612
17,0,0,1,0,0,0,0,20130515,20130612
17-2-20,0,0,1,0,0,1,1,20130515,20130616
18,0,0,1,0,0,0,0,20130515,20130612
19,0,0,0,0,0,1,0,20130518,20130615
19-29,0,0,0,0,1,1,0,20130517,20130615
19-30,0,0,0,0,1,1,0,20130517,20130615
2,0,0,0,0,0,0,1,20130519,20130616
2-20,0,0,0,0,0,1,1,20130518,20130616
20,0,0,0,0,0,1,0,20130518,20130615
21,1,1,1,1,1,0,0,20130513,20130614
22,0,0,0,0,1,0,0,20130517,20130614
22-25-27,1,1,0,1,1,0,0,20130513,20130614
23,0,0,1,0,0,0,0,20130515,20130612
24,0,1,1,1,1,0,0,20130514,20130614
25,1,0,0,0,0,0,0,20130513,20130610
26,1,1,0,1,0,0,0,20130513,20130613
27,1,1,0,1,1,0,0,20130513,20130614
28,1,1,1,1,0,0,0,20130513,20130613
29,0,0,0,0,1,0,0,20130517,20130614
30,0,0,0,0,1,0,0,20130517,20130614
32,0,0,0,0,1,0,0,20130517,20130614
