agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_id
1,1,Cesson-Sévigné (Champs Blancs) <> Chantepie (Rosa Parks),Majeure,3,,90C01B,FFFFFF,1
1,2,Grand Quartier <> La Poterie / Haut Sancé,Majeure,3,,0083cd,ffffff0002,2
1,3,Saint-Laurent <> Alma,Majeure,3,,00843A,FFFFFF0003,3
1,4,Beauregard <> Beaulieu Atalante,Majeure,3,,6f177e,ffffff0004,4
1,5,Patton <> Lycée Bréquigny,Majeure,3,,eb8200,ffffff0005,5
1,6,Cesson-Sévigné (Base de Loisirs) <> Saint-Jacques-de-la-Lande (Morinais),Majeure,3,,66bfd3,ffffff0006,6
1,8,Saint-Grégoire <> Rennes (La Poterie),Majeure,3,,B8639F,FFFFFF0008,8
1,9,Saint-Laurent <> Cleunay,Majeure,3,,004B9B,FFFFFF0009,9
1,11,ZI Ouest / Stade Rennais <> Saint-Saëns / ZI Sud-Est,Urbaine,3,,DC81AE,FFFFFF,11
1,30,Stade Rennais <> Cesson-Sévigné (Rigourdière),Inter-quartiers,3,,fef466,df171c,30
1,31,Villejean-Churchill <> Beaulieu Ecole de Chimie,Inter-quartiers,3,,FEF466,DF171C,31
1,32,Triangle <> Beaulieu Atalante,Inter-quartiers,3,,fef466,df171c,32
1,33,Saint-Jacques-de-la-Lande / Bréquigny <> La Poterie / Chantepie (Cucé),Inter-quartiers,3,,fef466,df171c,33
1,34,ZI Sud-Est / La Poterie <> Cesson-Sévigné (Lycée Saint-Etienne),Inter-quartiers,3,,FEF466,DF171C,34
1,35,Cesson-Sévigné (Champs Blancs) <> Cesson-Sévigné (Gare),Inter-quartiers,3,,FEF466,DF171C,35
1,40,République <> Beaulieu Atalante,Express urbaine,3,,FCE000,DF171C,40
1,41,Gares <> ZAC Saint-Sulpice,Express urbaine,3,,FCE000,00903B,41
1,42,Gares <> ZI Sud-Est,Express urbaine,3,,FCE000,0057A6,42
1,44,République <> Joliot-Curie,Express urbaine,3,,FCE000,E10077,44
1,50,Rennes (République) <> Thorigné-Fouillard,Suburbaine,3,,8ea1cf,ffffff,50
1,51,Rennes (Hoche) <> Betton (Champ Devant),Suburbaine,3,,93007C,FFFFFF,51
1,52,Saint-Gilles / Pacé <> Rennes (Villejean-Université) <> Montgermont / La Chapelle-des-Fougeretz,Suburbaine,3,,007a76,ffffff,52
1,53,Rennes (République) <> Vezin-le-Coquet / L'Hermitage / La Chapelle-Thouarault,Suburbaine,3,,d01733,ffffff,53
1,54,Rennes (Charles de Gaulle) <> Le Rheu / Cintré,Suburbaine,3,,cc90ba,ffffff,54
1,55,Rennes (Charles de Gaulle) <> Mordelles / Le Verger,Suburbaine,3,,f2ab00,201d21,55
