stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1001,1001,Longs Champs,Rennes,48.12903716,-1.6325079,,,0
1002,1002,Bouzat,Rennes,48.12826604,-1.63765619,,,0
1003,1003,Gallets,Rennes,48.12744122,-1.64029002,,,0
1004,1004,Donzelot,Rennes,48.12528847,-1.64253775,,,0
1005,1005,Mirabeau,Rennes,48.12312711,-1.64683091,,,0
1006,1006,Turmel,Rennes,48.12226258,-1.65069568,,,0
1007,1007,Assomption,Rennes,48.12141888,-1.65505801,,,0
1008,1008,Painlevé,Rennes,48.12317413,-1.6602443,,,0
1009,1009,Metz Volney,Rennes,48.12162483,-1.6631771,,,0
1010,1010,Guéhenno,Rennes,48.11917574,-1.66765915,,,0
1011,1011,Fac de Droit,Rennes,48.11830509,-1.67120349,,,0
1012,1012,Sévigné,Rennes,48.11618009,-1.67409822,,,0
1014,1014,Sainte-Anne,Rennes,48.11371103,-1.67903599,,,0
1015,1015,Champ Jacquet,Rennes,48.11252173,-1.68031651,,,0
1016,1016,République Nemours,Rennes,48.11007256,-1.6801671,,,0
1017,1017,Les Halles,Rennes,48.10834873,-1.6801754,,,0
1018,1018,Plélo Colombier,Rennes,48.10604754,-1.68160006,,,0
1019,1019,Cité Judiciaire,Rennes,48.1051576,-1.68471093,,,0
1020,1020,Mermoz,Rennes,48.09739351,-1.68956282,,,0
1021,1021,Cité Judiciaire,Rennes,48.10550614,-1.68388047,,,0
1022,1022,Plélo Colombier,Rennes,48.10622878,-1.68080951,,,0
1023,1023,Les Halles,Rennes,48.10798151,-1.68011595,,,0
1024,1024,République Nemours,Rennes,48.10997886,-1.68021216,,,0
1025,1025,Champ Jacquet,Rennes,48.11273566,-1.68025817,,,0
1026,1026,Sainte-Anne,Rennes,48.11478452,-1.67927843,,,0
1027,1027,Hôtel Dieu,Rennes,48.11723114,-1.67736823,,,0
1028,1028,Sévigné,Rennes,48.11750653,-1.67360984,,,0
1029,1029,Fac de Droit,Rennes,48.11831975,-1.66969704,,,0
1030,1030,Guéhenno,Rennes,48.11947818,-1.66685122,,,0
1031,1031,Metz Volney,Rennes,48.1220044,-1.66224129,,,0
1032,1032,Painlevé,Rennes,48.12331854,-1.65932809,,,0
1033,1033,Assomption,Rennes,48.12132369,-1.65499372,,,0
1034,1034,Turmel,Rennes,48.12221902,-1.65061867,,,0
1035,1035,Mirabeau,Rennes,48.12370157,-1.64529281,,,0
1036,1036,Donzelot,Rennes,48.12553894,-1.64212893,,,0
1037,1037,Gallets,Rennes,48.12774029,-1.6400201,,,0
1038,1038,Bouzat,Rennes,48.12826339,-1.6372655,,,0
1039,1039,Longs Champs,Rennes,48.12901691,-1.63243041,,,0
